Hidden Layers,Units,MAE,MSE,RMSE,R2,Training Time (min),Inference Time (sec)
1,16,4.68 ± 0.24,129.54 ± 5.41,11.38 ± 0.24,85.98 ± 0.59,90.28 ± 27.03,4.84 ± 0.3
1,32,4.83 ± 0.51,119.5 ± 5.39,10.93 ± 0.25,87.07 ± 0.58,77.17 ± 35.19,5.01 ± 0.18
1,64,4.6 ± 0.38,113.2 ± 7.67,10.63 ± 0.36,87.75 ± 0.83,104.52 ± 16.31,5.23 ± 0.23
1,128,4.76 ± 0.71,104.17 ± 7.2,10.2 ± 0.36,88.73 ± 0.78,135.81 ± 25.44,5.38 ± 0.27
1,256,4.37 ± 0.09,92.57 ± 3.68,9.62 ± 0.19,89.98 ± 0.4,108.19 ± 15.01,5.37 ± 0.31
10,16,3.03 ± 0.26,81.68 ± 8.04,9.03 ± 0.44,91.16 ± 0.87,40.28 ± 20.68,6.21 ± 0.44
10,32,3.0 ± 0.45,80.53 ± 16.06,8.94 ± 0.93,91.28 ± 1.74,61.42 ± 22.45,6.4 ± 0.26
10,64,3.04 ± 0.49,86.19 ± 29.34,9.18 ± 1.51,90.67 ± 3.18,60.89 ± 16.36,7.68 ± 0.65
10,128,3.46 ± 0.81,96.53 ± 28.79,9.73 ± 1.5,89.55 ± 3.12,86.99 ± 18.63,11.97 ± 1.95
10,256,2.75 ± 0.4,65.85 ± 6.52,8.11 ± 0.41,92.87 ± 0.71,171.56 ± 81.49,28.19 ± 0.55
2,16,3.75 ± 0.29,97.33 ± 4.99,9.86 ± 0.25,89.47 ± 0.54,56.22 ± 11.78,5.18 ± 0.29
2,32,3.28 ± 0.18,76.29 ± 3.68,8.73 ± 0.21,91.74 ± 0.4,80.82 ± 19.34,5.21 ± 0.26
2,64,3.2 ± 0.09,68.73 ± 5.31,8.29 ± 0.32,92.56 ± 0.57,74.68 ± 31.16,5.89 ± 0.31
2,128,3.15 ± 0.24,58.09 ± 3.26,7.62 ± 0.21,93.71 ± 0.35,101.98 ± 29.7,6.09 ± 0.57
2,256,3.06 ± 0.18,61.34 ± 4.78,7.83 ± 0.3,93.36 ± 0.52,94.65 ± 16.82,8.66 ± 0.42
3,16,3.51 ± 0.71,84.44 ± 15.82,9.16 ± 0.84,90.86 ± 1.71,57.26 ± 15.41,5.29 ± 0.3
3,32,3.05 ± 0.25,65.05 ± 3.72,8.06 ± 0.23,92.96 ± 0.4,58.04 ± 18.42,5.87 ± 0.34
3,64,2.73 ± 0.17,60.83 ± 4.01,7.8 ± 0.25,93.42 ± 0.43,65.09 ± 18.62,5.91 ± 0.58
3,128,2.33 ± 0.07,51.9 ± 3.02,7.2 ± 0.21,94.38 ± 0.33,78.7 ± 32.03,6.65 ± 0.66
3,256,2.55 ± 0.19,58.19 ± 8.38,7.61 ± 0.55,93.7 ± 0.91,103.71 ± 26.82,10.36 ± 0.27
4,16,2.99 ± 0.21,77.38 ± 7.8,8.79 ± 0.44,91.63 ± 0.84,63.38 ± 17.96,5.21 ± 0.32
4,32,2.62 ± 0.1,60.04 ± 1.91,7.75 ± 0.12,93.5 ± 0.21,81.1 ± 17.42,5.58 ± 0.32
4,64,2.46 ± 0.15,55.48 ± 6.37,7.44 ± 0.42,94.0 ± 0.69,71.8 ± 15.16,5.9 ± 0.56
4,128,2.48 ± 0.09,58.77 ± 7.3,7.65 ± 0.47,93.64 ± 0.79,68.17 ± 18.94,6.82 ± 0.45
4,256,2.56 ± 0.17,55.72 ± 3.3,7.46 ± 0.22,93.97 ± 0.36,148.73 ± 13.71,12.28 ± 0.36
5,16,2.82 ± 0.1,74.06 ± 6.62,8.6 ± 0.38,91.99 ± 0.72,53.83 ± 9.62,5.78 ± 0.44
5,32,2.68 ± 0.1,64.93 ± 5.68,8.05 ± 0.35,92.97 ± 0.61,72.08 ± 15.9,6.07 ± 0.16
5,64,2.76 ± 0.25,64.5 ± 7.83,8.02 ± 0.48,93.02 ± 0.85,55.88 ± 24.14,6.4 ± 0.47
5,128,2.51 ± 0.13,55.41 ± 6.1,7.44 ± 0.4,94.0 ± 0.66,102.18 ± 36.3,7.62 ± 1.1
5,256,2.49 ± 0.14,55.4 ± 6.13,7.43 ± 0.41,94.0 ± 0.66,160.13 ± 44.52,14.66 ± 0.4
6,16,2.92 ± 0.17,77.08 ± 7.21,8.77 ± 0.42,91.66 ± 0.78,50.35 ± 10.96,5.82 ± 0.21
6,32,2.76 ± 0.21,69.53 ± 8.17,8.33 ± 0.47,92.48 ± 0.88,78.16 ± 26.05,5.9 ± 0.49
6,64,2.48 ± 0.15,58.44 ± 5.63,7.64 ± 0.36,93.68 ± 0.61,73.45 ± 29.61,6.34 ± 0.27
6,128,2.82 ± 0.44,67.77 ± 15.43,8.19 ± 0.93,92.67 ± 1.67,85.02 ± 33.78,8.39 ± 0.44
6,256,3.46 ± 1.24,84.6 ± 39.49,9.03 ± 1.93,90.84 ± 4.27,168.84 ± 59.0,16.93 ± 0.44
7,16,2.99 ± 0.26,82.31 ± 12.33,9.05 ± 0.67,91.09 ± 1.33,39.24 ± 4.47,5.88 ± 0.24
7,32,2.75 ± 0.22,71.46 ± 6.82,8.45 ± 0.4,92.27 ± 0.74,61.3 ± 18.65,6.13 ± 0.37
7,64,2.99 ± 0.52,79.4 ± 25.92,8.83 ± 1.37,91.41 ± 2.8,68.96 ± 18.13,6.45 ± 0.32
7,128,3.46 ± 0.98,93.78 ± 36.25,9.55 ± 1.81,89.85 ± 3.92,87.25 ± 26.55,9.13 ± 0.96
7,256,3.17 ± 0.68,81.71 ± 25.55,8.95 ± 1.38,91.16 ± 2.76,219.37 ± 158.37,19.73 ± 0.21
8,16,3.01 ± 0.13,80.96 ± 6.16,8.99 ± 0.34,91.24 ± 0.67,64.29 ± 11.61,6.22 ± 0.8
8,32,3.2 ± 0.32,86.67 ± 17.19,9.27 ± 0.91,90.62 ± 1.86,66.53 ± 8.27,6.4 ± 0.5
8,64,2.99 ± 0.55,76.26 ± 23.0,8.66 ± 1.23,91.75 ± 2.49,69.3 ± 19.35,7.2 ± 0.48
8,128,2.87 ± 0.34,68.43 ± 8.09,8.26 ± 0.49,92.59 ± 0.88,85.44 ± 16.61,9.85 ± 0.66
8,256,2.86 ± 0.48,73.78 ± 15.57,8.55 ± 0.88,92.02 ± 1.68,159.33 ± 27.89,22.48 ± 1.24
9,16,2.96 ± 0.19,80.88 ± 9.29,8.98 ± 0.52,91.25 ± 1.01,63.15 ± 15.23,6.11 ± 0.46
9,32,2.88 ± 0.35,74.09 ± 11.15,8.59 ± 0.64,91.98 ± 1.21,61.29 ± 16.67,6.4 ± 0.43
9,64,3.04 ± 0.41,83.55 ± 16.21,9.1 ± 0.9,90.96 ± 1.75,61.09 ± 26.91,7.03 ± 0.31
9,128,2.62 ± 0.32,62.47 ± 14.81,7.86 ± 0.89,93.24 ± 1.6,114.25 ± 32.78,11.9 ± 0.71
9,256,2.79 ± 0.4,71.19 ± 27.85,8.33 ± 1.53,92.3 ± 3.01,270.42 ± 132.69,24.84 ± 0.66
